id_show,Canales
1399.0,HBO
71446.0,Netflix
71446.0, Antena 3
66732.0,Netflix
1402.0,AMC
63174.0,FOX
63174.0, Netflix
69050.0,The CW
93405.0,Netflix
1396.0,AMC
71712.0,ABC
85271.0,Disney+
60735.0,The CW
1418.0,CBS
84958.0,Disney+
1416.0,ABC
82856.0,Disney+
456.0,FOX
85552.0,HBO
75006.0,Netflix
60574.0,BBC One
60574.0, BBC Two
76669.0,Netflix
76479.0,Prime Video
60625.0,Adult Swim
18165.0,The CW
88396.0,Disney+
31910.0,TV Tokyo
48866.0,The CW
119051.0,Netflix
1668.0,NBC
1622.0,The WB
1622.0, The CW
81356.0,Netflix
44217.0,Prime Video
44217.0, History
70523.0,Netflix
1408.0,FOX
77169.0,Netflix
77169.0, YouTube Premium
85937.0,Fuji TV
85937.0, Gunma TV
85937.0, Tokyo MX
85937.0, BS11
85937.0, Tokai Television Broadcasting
85937.0, Kansai TV
85937.0, Tochigi TV
85937.0, Fukui TV
85937.0, Hokkaido Cultural Broadcasting
85937.0, Iwate Menkoi Television
85937.0, Television Oita System
85937.0, Sendai Television
85937.0, SAGA TV
85937.0, Ishikawa TV
85937.0, Television Nishinippon
85937.0, OHK
85937.0, Kochi Sun Sun Broadcasting
85937.0, Television Shin Hiroshima System
85937.0, TV Shizuoka
85937.0, UMK TV Miyazaki
85937.0, NST
85937.0, NBS
85937.0, Sakuranbo TV
85937.0, TSK
85937.0, Ehime Broadcasting
85937.0, KTS
85937.0, Fukushima TV
85937.0, NIB
85937.0, AKT
85937.0, Toyama Television
85937.0, TV Kumamoto
85937.0, Okinawa Television Broadcasting
1412.0,The CW
1429.0,MBS
1429.0, NHK G
1429.0, Tokyo MX
87108.0,HBO
1413.0,FX
46260.0,TV Tokyo
71912.0,Netflix
12637.0,Univision
12637.0, Las Estrellas
63247.0,HBO
82883.0,Hulu
19885.0,BBC One
62104.0,tv asahi
62104.0, MBS
62104.0, TV Tokyo
62104.0, TBS
62104.0, CBC
62104.0, TV Aichi
62104.0, TVQ
62104.0, TV Osaka
62104.0, Tulip Television
62104.0, TVh
62104.0, SBC
62104.0, TSC
62104.0, BSN
62104.0, tys
62104.0, Nagasaki Broadcasting Company
62104.0, HBC
62104.0, RKK Kumamoto Broadcasting
62104.0, i-Television
62104.0, SBS TV
62104.0, IBC Iwate Broadcasting
62104.0, Broadcasting System of San-in
62104.0, Hokuriku Broadcasting
62104.0, Oita Broadcasting System
62104.0, TV-U Fukushima
62104.0, RSK
62104.0, TV-U Yamagata
62104.0, Tohoku Broadcasting
62104.0, RKB
62104.0, TV Kochi Broadcasting
62104.0, Ryukyu Broadcasting
62104.0, TV Yamanashi
62104.0, RCC
62104.0, MRT Miyazaki Broadcasting
62104.0, ATV
62104.0, MBC South Japan Broadcasting
62715.0,Fuji TV
62286.0,AMC
2288.0,FOX
65930.0,Nippon TV
65930.0, MBS
65930.0, TBS
65930.0, YTV
37680.0,USA Network
70785.0,CBC Television
42009.0,Channel 4
42009.0, Netflix
1100.0,CBS
60059.0,AMC
65334.0,TF1
105214.0,Netflix
62560.0,USA Network
12971.0,Fuji TV
100088.0,HBO
37854.0,Fuji TV
61889.0,Netflix
62688.0,CBS
62688.0, The CW
2004.0,FOX
1434.0,FOX
66788.0,Netflix
2190.0,Comedy Central
87739.0,Netflix
34524.0,MTV
4604.0,The WB
4604.0, The CW
90462.0,USA Network
90462.0, Syfy
95557.0,Prime Video
60797.0,CBS
91363.0,Disney+
1405.0,Showtime
4607.0,ABC
13916.0,Nippon TV
246.0,Nickelodeon
2316.0,NBC
4057.0,CBS
4057.0, Paramount+
94997.0,HBO
2734.0,NBC
5920.0,CBS
46331.0,CBS
43348.0,Caracol TV
94605.0,Netflix
99966.0,Netflix
79242.0,Netflix
1403.0,ABC
63926.0,TV Tokyo
