id_show,Companias_Produccion
1399.0,Revolution Sun Studios
1399.0, Television 360
1399.0, Generator Entertainment
1399.0, Bighead Littlehead
71446.0,Vancouver Media
66732.0,21 Laps Entertainment
66732.0, Monkey Massacre Productions
1402.0,AMC Studios
1402.0, Circle of Confusion
1402.0, Valhalla Motion Pictures
1402.0, Darkwoods Productions
1402.0, Skybound Entertainment
1402.0, Idiotbox
63174.0,Warner Bros. Television
63174.0, DC Entertainment
63174.0, Jerry Bruckheimer Television
63174.0, DC Vertigo
69050.0,Warner Bros. Television
69050.0, Berlanti Productions
69050.0, CBS Studios
69050.0, Archie Comics
93405.0,Siren Pictures
93405.0, Firstman Studio
1396.0,Sony Pictures Television Studios
1396.0, High Bridge Productions
1396.0, Gran Via Productions
71712.0,ABC Studios
71712.0, 3AD
71712.0, Sony Pictures Television Studios
85271.0,Marvel Studios
60735.0,Warner Bros. Television
60735.0, Berlanti Productions
60735.0, DC Entertainment
1418.0,Chuck Lorre Productions
1418.0, Warner Bros. Television
84958.0,Marvel Studios
1416.0,The Mark Gordon Company
1416.0, ShondaLand
1416.0, ABC Studios
1416.0, Touchstone Television
82856.0,Lucasfilm Ltd.
82856.0, Golem Creations
82856.0, Fairview Entertainment
456.0,Gracie Films
456.0, 20th Century Fox Television
456.0, 20th Television Animation
456.0, 20th Television
85552.0,A24
85552.0, The Reasonable Bunch
85552.0, Little Lamb Productions
85552.0, DreamCrew
85552.0, Tiny Goat
85552.0, HBO
85552.0, ADD Content Agency
85552.0, HOT
85552.0, Tedy Productions
75006.0,Dark Horse Entertainment
75006.0, UCP
60574.0,Tiger Aspect
60574.0, BBC Studios
60574.0, Caryn Mandabach Productions
60574.0, Screen Yorkshire
76669.0,Zeta Studios
76479.0,Amazon Studios
76479.0, Original Film
76479.0, Sony Pictures Television Studios
76479.0, Kripke Enterprises
76479.0, Point Grey Pictures
76479.0, Kickstart
76479.0, NightSky Productions
60625.0,Williams Street
60625.0, Harmonious Claptrap
60625.0, Justin Roiland's Solo Vanity Card Productions
60625.0, Starburns Industries
60625.0, Green Portal Productions
18165.0,Warner Bros. Television
18165.0, Alloy Entertainment
18165.0, Outerbanks Entertainment
18165.0, Bonanza Productions
18165.0, CBS Studios
88396.0,Marvel Studios
31910.0,TV Tokyo
31910.0, Pierrot
31910.0, Sound Box
48866.0,Warner Bros. Television
48866.0, Alloy Entertainment
48866.0, Bonanza Productions
48866.0, CBS Studios
119051.0,MGM Television
119051.0, Millar Gough Ink
119051.0, Toluca Pictures
1668.0,Warner Bros. Television
1668.0, Bright/Kauffman/Crane Productions
1622.0,Kripke Enterprises
1622.0, Supernatural Films
1622.0, Wonderland Sound and Vision
1622.0, Warner Bros. Television
81356.0,Eleven
44217.0,Shaw Media
44217.0, World 2000 Entertainment
44217.0, Take 5 Productions
70523.0,Wiedemann & Berg Television
1408.0,Universal Television
1408.0, Bad Hat Harry Productions
1408.0, Heel & Toe Films
1408.0, Shore Z Productions
77169.0,Hurwitz & Schlossberg Productions
77169.0, Sony Pictures Television Studios
77169.0, Overbrook Entertainment
85937.0,ufotable
85937.0, Aniplex
85937.0, Shueisha
1412.0,Berlanti Productions
1412.0, DC Entertainment
1412.0, Warner Bros. Television
1429.0,Production I.G
1429.0, MAPPA
1429.0, WIT STUDIO
1429.0, Pony Canyon
1429.0, Techno Sound
1429.0, Kodansha
1429.0, dentsu
1429.0, MBS
1429.0, Pony Canyon Enterprise
87108.0,SISTER
87108.0, The Mighty Mint
87108.0, Word Games
1413.0,Ryan Murphy Productions
1413.0, Brad Falchuk Teley-vision
1413.0, 20th Television
1413.0, 20th Century Fox Television
1413.0, Anthony Hemingway Productions
46260.0,Pierrot
46260.0, Sound Box
71912.0,Sean Daniel Company
71912.0, Platige Image
71912.0, Hivemind
71912.0, Little Schmidt Productions
71912.0, Platige Films
12637.0,Televisa
63247.0,Warner Bros. Television
63247.0, Jerry Weintraub Productions
63247.0, Bad Robot
63247.0, Kilter Films
82883.0,UCP
82883.0, Eat the Cat
19885.0,Hartswood Films
19885.0, BBC Wales
19885.0, Masterpiece
62104.0,A-1 Pictures
62104.0, Studio Deen
62715.0,Toei Company
62715.0, Toei Animation
62715.0, Fuji Television Network
62715.0, Fizz Sound Creation
62286.0,Valhalla Motion Pictures
62286.0, AMC Studios
62286.0, Circle of Confusion
62286.0, Idiotbox
62286.0, Skybound Entertainment
2288.0,Prison Break Productions
2288.0, Adelstein-Parouse Productions
2288.0, Original Television
2288.0, 20th Century Fox Television
65930.0,BONES
65930.0, Shueisha
65930.0, movic
65930.0, dentsu
65930.0, Yomiuri Telecasting Corporation
65930.0, Sony Music Entertainment (Japan)
65930.0, TOHO
37680.0,Dutch Oven
37680.0, Hypnotic
37680.0, UCP
70785.0,Northwood Entertainment
70785.0, Northwood Pictures
42009.0,House of Tomorrow
42009.0, Zeppotron
1100.0,Carter Bays
1100.0, 20th Century Fox Television
60059.0,Sony Pictures Television Studios
60059.0, AMC Studios
60059.0, High Bridge Productions
60059.0, Gran Via Productions
65334.0,Method Animation
65334.0, Toei Animation
65334.0, SAMG Animation
65334.0, Zagtoon
105214.0,sin informacion
62560.0,Anonymous Content
62560.0, UCP
62560.0, Esmail Corp
12971.0,Fuji Television Network
12971.0, Mini Art
12971.0, Toei Animation
12971.0, Fizz Sound Creation
100088.0,PlayStation Productions
100088.0, Sony Pictures Television Studios
100088.0, Naughty Dog
100088.0, Word Games
100088.0, The Mighty Mint
100088.0, HBO
37854.0,Toei Animation
37854.0, Fuji Television Network
37854.0, Avex Trax
37854.0, Shueisha
37854.0, Asatsu-DK
61889.0,ABC Studios
61889.0, DeKnight Productions
61889.0, Goddard Textiles
61889.0, Marvel Television
62688.0,DC Entertainment
62688.0, Berlanti Productions
62688.0, Warner Bros. Television
2004.0,Fox Television Studios
2004.0, Regency Television
1434.0,20th Century Fox Television
1434.0, Fuzzy Door Productions
1434.0, 20th Television Animation
1434.0, 20th Television
66788.0,Paramount Television Studios
66788.0, Anonymous Content
2190.0,South Park Studios
2190.0, Comedy Central
2190.0, Parker-Stone Productions
2190.0, MTV Entertainment Studios
87739.0,Flitcraft
87739.0, Wonderful Films
34524.0,sin informacion
4604.0,DC Comics
4604.0, Warner Bros. Television
4604.0, Tollin/Robbins Productions
4604.0, Millar Gough Ink
90462.0,David Kirschner Productions
90462.0, Eat the Cat
90462.0, UCP
95557.0,Amazon Studios
95557.0, Skybound North
95557.0, Skybound Entertainment
60797.0,Perfect Storm Entertainment
60797.0, K/O Paper Products
60797.0, Blackjack Productions
60797.0, SB Films
60797.0, CBS Studios
91363.0,Marvel Studios
91363.0, Blue Spirit
91363.0, Squeeze
91363.0, Flying Bark Productions
91363.0, Stellar Creative Lab
1405.0,Showtime Networks
1405.0, John Goldwyn Productions
1405.0, The Colleton Company
1405.0, Clyde Phillips Productions
1405.0, Devilina Productions
4607.0,ABC Studios
4607.0, Bad Robot
13916.0,Madhouse
246.0,Nickelodeon Animation Studio
246.0, JM Animation
246.0, DR Movie
246.0, Moi Animation
2316.0,sin informacion
4057.0,Touchstone Television
4057.0, The Mark Gordon Company
4057.0, Paramount Television Studios
4057.0, CBS Studios
4057.0, ABC Signature
4057.0, Erica Messer Productions
94997.0,HBO
94997.0, Bastard Sword
94997.0, 1:26 Pictures
94997.0, GRRM
2734.0,Wolf Entertainment
2734.0, Universal Television
2734.0, Studios USA
2734.0, Universal Media Studios
5920.0,Warner Bros. Television
5920.0, Primrose Hill Productions
46331.0,Amblin Television
46331.0, Baer Bones
46331.0, CBS Studios
43348.0,Caracol Televisión
94605.0,Fortiche Production
94605.0, Riot Games
99966.0,Film Monster
99966.0, SLL
99966.0, Kim Jong-hak Production
79242.0,Berlanti Productions
79242.0, Warner Bros. Television
1403.0,ABC Studios
1403.0, Mutant Enemy Productions
1403.0, Marvel Television
1403.0, Walt Disney Studios
1403.0, Marvel Entertainment
63926.0,Madhouse
63926.0, J.C.STAFF
63926.0, Bandai Visual
63926.0, Asatsu-DK
63926.0, East Japan Marketing & Communications
63926.0, Shueisha
63926.0, Lantis
63926.0, Banpresto
63926.0, Good Smile Company
63926.0, TV Tokyo
80213.0,Platinum Dunes
80213.0, Blumhouse Television
80213.0, Anthony Hemingway Productions
71886.0,sin informacion
60708.0,DC Entertainment
60708.0, Primrose Hill Productions
60708.0, Warner Bros. Television
16286.0,RCN
46896.0,My So-Called Company
46896.0, Alloy Entertainment
46896.0, CBS Studios
46896.0, Warner Bros. Television
4613.0,HBO Films
4613.0, DreamWorks Television
4613.0, DreamWorks Pictures
4613.0, BBC Television Centre
4613.0, Playtone
104877.0,MF Yapım
1911.0,20th Century Fox Television
1911.0, Far Field Productions
1911.0, Josephson Entertainment
88329.0,Marvel Studios
88329.0, Kevin Feige Productions
80020.0,Toei Animation
80020.0, Fuji Television Network
48891.0,Dr. Goor Productions
48891.0, Universal Television
48891.0, 3 Arts Entertainment
48891.0, Fremulon
39351.0,Universal Television
39351.0, Hazy Mills Productions
615.0,20th Century Fox Television
615.0, The Curiosity Company
615.0, 20th Television Animation
2691.0,CBS Studios
2691.0, Warner Bros. Entertainment
2691.0, Warner Bros. Television
46952.0,Sony Pictures Television Studios
46952.0, Davis Entertainment
46952.0, Universal Television
86831.0,Blur Studio
86831.0, Studio La Cachette
19614.0,Lorimar Television
19614.0, Green/Epstein Productions
19614.0, Konigsberg/Sanitsky Company
95479.0,MAPPA
95479.0, Sumzap
95479.0, dugout
95479.0, Shueisha
95479.0, MBS
95479.0, TOHO
12609.0,Toei Animation
12609.0, Cloverway
12609.0, Inc.
78191.0,Berlanti Productions
78191.0, Alloy Entertainment
78191.0, Warner Bros. Television
78191.0, A+E Studios
78191.0, Man Sewing Dinosaur
78191.0, Warner Horizon Television
46648.0,Passenger
46648.0, Anonymous Content
46648.0, Lee Caplin / Picture Entertainment
46648.0, PASTEL
46648.0, Neon Black
46648.0, Parliament of Owls
46648.0, HBO
74577.0,Dominic Buchanan Productions
74577.0, Clerkenwell Films
44953.0,Caracol Televisión
44953.0, Telemundo Studios
44953.0, Argos Comunicación
79460.0,Warner Bros. Television
79460.0, Alloy Entertainment
79460.0, CBS Studios
79460.0, My So-Called Company
387.0,United Plankton Pictures
387.0, Nickelodeon Productions
387.0, Nickelodeon Animation Studio
4087.0,Ten Thirteen Productions
4087.0, 20th Century Fox Television
67335.0,Fox Telecolombia
67335.0, Telemundo Studios
57243.0,BBC Wales
57243.0, CBC
57243.0, BBC Studios
57243.0, Bad Wolf
60866.0,Warner Bros. Television
60866.0, Spondoolie Productions
60866.0, DC Vertigo
1409.0,SutterInk
1409.0, The Linson Company
1409.0, Fox 21
1409.0, FX Productions
67915.0,Hwa&Dam Pictures
67915.0, Studio Dragon
40075.0,Disney Television Animation
63351.0,Gaumont International Television
75450.0,Berlanti Productions
75450.0, Warner Bros. Television
75450.0, Weed Road Pictures
75450.0, DC Entertainment
15260.0,Frederator Studios
15260.0, Cartoon Network Studios
69478.0,MGM Television
69478.0, White Oak Pictures
69478.0, Daniel Wilson Productions Inc.
