id_show,Creador
1399.0,David Benioff
1399.0,D.B. Weiss
71446.0,Álex Pina
66732.0,Matt Duffer
66732.0,Ross Duffer
1402.0,Frank Darabont
63174.0,Tom Kapinos
69050.0,Roberto Aguirre-Sacasa
93405.0,Hwang Dong-hyuk
1396.0,Vince Gilligan
71712.0,David Shore
85271.0,Jac Schaeffer
60735.0,Greg Berlanti
60735.0,Geoff Johns
60735.0,Andrew Kreisberg
1418.0,Chuck Lorre
1418.0,Bill Prady
84958.0,Michael Waldron
1416.0,Shonda Rhimes
82856.0,Jon Favreau
456.0,Matt Groening
85552.0,Sam Levinson
75006.0,Steve Blackman
60574.0,Steven Knight
76669.0,Carlos Montero
76669.0,Darío Madrona
76479.0,Eric Kripke
60625.0,Dan Harmon
60625.0,Justin Roiland
18165.0,Kevin Williamson
18165.0,Julie Plec
88396.0,Malcolm Spellman
31910.0,sin informacion
48866.0,Jason Rothenberg
119051.0,Miles Millar
119051.0,Alfred Gough
1668.0,Marta Kauffman
1668.0,David Crane
1622.0,Eric Kripke
81356.0,Laurie Nunn
44217.0,Michael Hirst
70523.0,Baran bo Odar
70523.0,Jantje Friese
1408.0,David Shore
77169.0,Jon Hurwitz
77169.0,Hayden Schlossberg
77169.0,Josh Heald
85937.0,sin informacion
1412.0,Greg Berlanti
1412.0,Marc Guggenheim
1412.0,Andrew Kreisberg
1429.0,sin informacion
87108.0,Craig Mazin
1413.0,Ryan Murphy
1413.0,Brad Falchuk
46260.0,sin informacion
71912.0,Lauren Schmidt Hissrich
12637.0,Cris Morena
63247.0,Jonathan Nolan
63247.0,Lisa Joy
82883.0,Nick Antosca
82883.0,Michelle Dean
19885.0,Mark Gatiss
19885.0,Steven Moffat
62104.0,sin informacion
62715.0,sin informacion
62286.0,Dave Erickson
62286.0,Robert Kirkman
2288.0,Paul Scheuring
65930.0,sin informacion
37680.0,Aaron Korsh
70785.0,Moira Walley-Beckett
42009.0,Charlie Brooker
1100.0,Carter Bays
1100.0,Craig Thomas
60059.0,Peter Gould
60059.0,Vince Gilligan
65334.0,Thomas Astruc
105214.0,Leticia López Margalli
62560.0,Sam Esmail
12971.0,Akira Toriyama
100088.0,Craig Mazin
100088.0,Neil Druckmann
37854.0,sin informacion
61889.0,Drew Goddard
62688.0,Greg Berlanti
62688.0,Ali Adler
62688.0,Andrew Kreisberg
2004.0,Linwood Boomer
1434.0,Seth MacFarlane
66788.0,Brian Yorkey
2190.0,Trey Parker
2190.0,Matt Stone
87739.0,Scott Frank
87739.0,Allan Scott
34524.0,Jeff Davis
4604.0,Miles Millar
4604.0,Alfred Gough
90462.0,David Kirschner
90462.0,Don Mancini
90462.0,Nick Antosca
95557.0,sin informacion
60797.0,Nick Santora
91363.0,sin informacion
1405.0,James Manos
1405.0,Jr.
4607.0,J.J. Abrams
4607.0,Damon Lindelof
4607.0,Jeffrey Lieber
13916.0,sin informacion
246.0,Michael Dante DiMartino
246.0,Bryan Konietzko
2316.0,Ricky Gervais
2316.0,Stephen Merchant
2316.0,Greg Daniels
4057.0,Jeff Davis
94997.0,George R. R. Martin
94997.0,Ryan Condal
2734.0,Dick Wolf
5920.0,Bruno Heller
46331.0,Brian K. Vaughan
43348.0,sin informacion
94605.0,Christian Linke
94605.0,Alex Yee
99966.0,Chun Sung-il
99966.0,JQ Lee
99966.0,Kim Nam-soo
79242.0,Roberto Aguirre-Sacasa
1403.0,Joss Whedon
1403.0,Jed Whedon
1403.0,Maurissa Tancharoen
63926.0,sin informacion
80213.0,James DeMonaco
71886.0,Eric Wald
71886.0,Nick Copus
71886.0,Dean White
60708.0,Bruno Heller
16286.0,Fernando Gaitán
46896.0,Julie Plec
4613.0,sin informacion
104877.0,Ayse Uber Kutlu
1911.0,Hart Hanson
88329.0,Jonathan Igla
80020.0,sin informacion
48891.0,Michael Schur
48891.0,Daniel J. Goor
39351.0,Jim Kouf
39351.0,Stephen Carpenter
39351.0,David Greenwalt
615.0,Matt Groening
2691.0,Chuck Lorre
2691.0,Lee Aronsohn
46952.0,Jon Bokenkamp
86831.0,Tim Miller
19614.0,Stephen King
95479.0,sin informacion
12609.0,sin informacion
78191.0,Greg Berlanti
78191.0,Sera Gamble
46648.0,Nic Pizzolatto
74577.0,Jonathan Entwistle
44953.0,Mauricio Ochmann
44953.0,Mariano Calasso
44953.0,Luis Zelkowicz
79460.0,Julie Plec
387.0,Stephen Hillenburg
4087.0,Chris Carter
67335.0,Gustavo Bolívar
57243.0,Sydney Newman
57243.0,Donald Wilson
57243.0,C. E. Webber
60866.0,Rob Thomas
60866.0,Diane Ruggiero
1409.0,Kurt Sutter
67915.0,Kim Eun-sook
67915.0,Lee Eung-bok
40075.0,Alex Hirsch
63351.0,Chris Brancato
63351.0,Doug Miro
63351.0,Carlo Bernard
75450.0,Akiva Goldsman
75450.0,Greg Berlanti
75450.0,Geoff Johns
15260.0,Pendleton Ward
69478.0,Bruce Miller
31917.0,I. Marlene King
1425.0,Beau Willimon
56570.0,Ronald D. Moore
92749.0,Jeremy Slater
1421.0,Christopher Lloyd
1421.0,Steven Levitan
110492.0,James Gunn
62455.0,Álex Pina
62455.0,Iván Escobar
62455.0,Daniel Écija
62455.0,Esther Martínez Lobato
62710.0,Martin Gero
70881.0,sin informacion
1398.0,David Chase
27240.0,sin informacion
60622.0,Noah Hawley
34307.0,John Wells
34307.0,Paul Abbott
102903.0,Adriana Pelusi
102903.0,Carlos Quintanilla Sakar
102903.0,Miguel García Moreno
113988.0,Ryan Murphy
113988.0,Ian Brennan
115036.0,Jon Favreau
1424.0,Jenji Kohan
84773.0,John D. Payne
84773.0,Patrick McKay
67178.0,Steve Lightfoot
46296.0,Steven S. DeKnight
58841.0,Dick Wolf
58841.0,Matt Olmstead
62127.0,Scott Buck
95594.0,sin informacion
75219.0,Ryan Murphy
75219.0,Brad Falchuk
80752.0,Steven Knight
1705.0,J.J. Abrams
1705.0,Alex Kurtzman
1705.0,Roberto Orci
62643.0,Greg Berlanti
62643.0,Marc Guggenheim
62643.0,Phil Klemmer
62643.0,Andrew Kreisberg
71728.0,Chuck Lorre
71728.0,Steven Molaro
16997.0,Bruce C. McKenna
40008.0,Bryan Fuller
67744.0,Joe Penhall
61222.0,Raphael Bob-Waksberg
61374.0,sin informacion
1981.0,Constance M. Burge
38472.0,Melissa Rosenberg
63639.0,Mark Fergus
63639.0,Hawk Ostby
1892.0,Andy Borowitz
1892.0,Susan Borowitz
95057.0,Greg Berlanti
95057.0,Todd Helbing
4614.0,Donald P. Bellisario
4614.0,Don McGill
91239.0,Chris Van Dusen
1639.0,Tim Kring
44006.0,Michael Brandt
44006.0,Derek Haas
1407.0,Gideon Raff
1407.0,Howard Gordon
1407.0,Alex Gansa
154521.0,sin informacion
69740.0,Mark Williams
69740.0,Bill Dubuque
45871.0,Iván Escobar
72844.0,Mike Flanagan
39272.0,Edward Kitsis
39272.0,Adam Horowitz
52814.0,Kyle Killen
