id_show,Generos
1399.0,Sci-Fi & Fantasy
1399.0,Drama
1399.0,Action & Adventure
71446.0,Crime
71446.0,Drama
66732.0,Drama
66732.0,Sci-Fi & Fantasy
66732.0,Mystery
1402.0,Action & Adventure
1402.0,Drama
1402.0,Sci-Fi & Fantasy
63174.0,Crime
63174.0,Sci-Fi & Fantasy
69050.0,Crime
69050.0,Drama
69050.0,Mystery
93405.0,Action & Adventure
93405.0,Mystery
93405.0,Drama
1396.0,Drama
1396.0,Crime
71712.0,Drama
85271.0,Sci-Fi & Fantasy
85271.0,Mystery
85271.0,Drama
60735.0,Drama
60735.0,Sci-Fi & Fantasy
1418.0,Comedy
84958.0,Drama
84958.0,Sci-Fi & Fantasy
1416.0,Drama
82856.0,Sci-Fi & Fantasy
82856.0,Action & Adventure
82856.0,Drama
456.0,Family
456.0,Animation
456.0,Comedy
85552.0,Drama
85552.0,Crime
75006.0,Action & Adventure
75006.0,Sci-Fi & Fantasy
75006.0,Drama
60574.0,Drama
60574.0,Crime
76669.0,Crime
76669.0,Mystery
76669.0,Drama
76479.0,Sci-Fi & Fantasy
76479.0,Action & Adventure
60625.0,Animation
60625.0,Comedy
60625.0,Sci-Fi & Fantasy
60625.0,Action & Adventure
18165.0,Drama
18165.0,Sci-Fi & Fantasy
88396.0,Action & Adventure
88396.0,Drama
31910.0,Animation
31910.0,Action & Adventure
31910.0,Sci-Fi & Fantasy
48866.0,Sci-Fi & Fantasy
48866.0,Drama
48866.0,Action & Adventure
119051.0,Sci-Fi & Fantasy
119051.0,Mystery
119051.0,Comedy
1668.0,Comedy
1622.0,Drama
1622.0,Mystery
1622.0,Sci-Fi & Fantasy
81356.0,Comedy
81356.0,Drama
44217.0,Action & Adventure
44217.0,Drama
44217.0,War & Politics
70523.0,Drama
70523.0,Sci-Fi & Fantasy
70523.0,Mystery
1408.0,Drama
1408.0,Mystery
77169.0,Action & Adventure
77169.0,Drama
77169.0,Comedy
85937.0,Animation
85937.0,Action & Adventure
85937.0,Sci-Fi & Fantasy
1412.0,Crime
1412.0,Drama
1412.0,Mystery
1412.0,Action & Adventure
1429.0,Sci-Fi & Fantasy
1429.0,Animation
1429.0,Action & Adventure
87108.0,Drama
1413.0,Drama
1413.0,Mystery
1413.0,Sci-Fi & Fantasy
46260.0,Animation
46260.0,Action & Adventure
46260.0,Sci-Fi & Fantasy
71912.0,Drama
71912.0,Action & Adventure
71912.0,Sci-Fi & Fantasy
12637.0,Comedy
12637.0,Soap
12637.0,Drama
63247.0,Sci-Fi & Fantasy
63247.0,Western
82883.0,Drama
82883.0,Crime
19885.0,Crime
19885.0,Drama
19885.0,Mystery
