id_show,Idioma_original
1399.0,en
71446.0,es
66732.0,en
1402.0,en
63174.0,en
69050.0,en
93405.0,ko
1396.0,en
71712.0,en
85271.0,en
60735.0,en
1418.0,en
84958.0,en
1416.0,en
82856.0,en
456.0,en
85552.0,en
75006.0,en
60574.0,en
76669.0,es
76479.0,en
60625.0,en
18165.0,en
88396.0,en
31910.0,ja
48866.0,en
119051.0,en
1668.0,en
1622.0,en
81356.0,en
44217.0,en
70523.0,de
1408.0,en
77169.0,en
85937.0,ja
1412.0,en
1429.0,ja
87108.0,en
1413.0,en
46260.0,ja
71912.0,en
12637.0,es
63247.0,en
82883.0,en
19885.0,en
62104.0,ja
62715.0,ja
62286.0,en
2288.0,en
65930.0,ja
37680.0,en
70785.0,en
42009.0,en
1100.0,en
60059.0,en
65334.0,fr
105214.0,es
62560.0,en
12971.0,ja
100088.0,en
37854.0,ja
61889.0,en
62688.0,en
2004.0,en
1434.0,en
66788.0,en
2190.0,en
87739.0,en
34524.0,en
4604.0,en
90462.0,en
95557.0,en
60797.0,en
91363.0,en
1405.0,en
4607.0,en
13916.0,ja
246.0,en
2316.0,en
4057.0,en
94997.0,en
2734.0,en
5920.0,en
46331.0,en
43348.0,es
94605.0,en
99966.0,ko
79242.0,en
1403.0,en
63926.0,ja
80213.0,en
71886.0,en
60708.0,en
16286.0,es
46896.0,en
4613.0,en
104877.0,tr
1911.0,en
88329.0,en
80020.0,ja
48891.0,en
39351.0,en
615.0,en
2691.0,en
46952.0,en
86831.0,en
19614.0,en
95479.0,ja
12609.0,ja
78191.0,en
46648.0,en
74577.0,en
44953.0,es
79460.0,en
387.0,en
4087.0,en
67335.0,es
57243.0,en
60866.0,en
1409.0,en
67915.0,ko
40075.0,en
63351.0,en
75450.0,en
15260.0,en
69478.0,en
31917.0,en
1425.0,en
56570.0,en
92749.0,en
1421.0,en
110492.0,en
62455.0,es
62710.0,en
70881.0,ja
1398.0,en
27240.0,en
60622.0,en
34307.0,en
102903.0,es
113988.0,en
115036.0,en
1424.0,en
84773.0,en
67178.0,en
46296.0,en
58841.0,en
62127.0,en
95594.0,en
75219.0,en
80752.0,en
1705.0,en
62643.0,en
71728.0,en
16997.0,en
40008.0,en
67744.0,en
61222.0,en
61374.0,ja
1981.0,en
38472.0,en
63639.0,en
1892.0,en
95057.0,en
4614.0,en
91239.0,en
1639.0,en
44006.0,en
1407.0,en
154521.0,en
69740.0,en
45871.0,es
72844.0,en
39272.0,en
52814.0,en
11250.0,es
1438.0,en
90239.0,es
105.0,en
1433.0,en
96815.0,en
1395.0,en
35610.0,ja
89641.0,ko
33880.0,en
1437.0,en
96677.0,fr
92783.0,en
71914.0,en
65494.0,en
31132.0,en
12697.0,ja
1920.0,en
31586.0,es
73586.0,en
4194.0,en
31911.0,ja
93741.0,en
2038.0,en
90802.0,en
63401.0,en
47.0,es
71915.0,en
76121.0,ja
77606.0,en
12926.0,es
1400.0,en
90260.0,en
110316.0,ja
68421.0,en
61550.0,en
10545.0,en
45950.0,ja
1419.0,en
47640.0,en
693.0,en
62046.0,en
30984.0,ja
16420.0,ko
45782.0,ja
62126.0,en
31356.0,en
100883.0,en
4556.0,en
80743.0,en
97180.0,en
67198.0,en
1606.0,en
60572.0,ja
42035.0,es
85949.0,en
32798.0,en
31251.0,en
95.0,en
64432.0,en
114868.0,ja
4686.0,en
63333.0,en
1411.0,en
97186.0,en
46298.0,ja
71411.0,es
1415.0,en
1620.0,en
120089.0,ja
71740.0,es
18347.0,en
46786.0,en
46639.0,en
112888.0,ko
79744.0,en
68507.0,en
61056.0,en
89247.0,en
74428.0,es
62264.0,en
890.0,ja
72305.0,ja
61664.0,en
75758.0,en
117581.0,en
2098.0,en
86430.0,en
80240.0,es
30991.0,ja
79699.0,es
92685.0,en
60573.0,en
92830.0,en
39340.0,en
58474.0,en
60743.0,en
4629.0,en
72637.0,es
92396.0,es
71789.0,en
76773.0,en
153312.0,en
69629.0,en
100834.0,es
85723.0,en
1972.0,en
2085.0,en
100049.0,ja
5371.0,en
1973.0,en
90461.0,en
8358.0,en
66573.0,en
79696.0,en
67136.0,en
97175.0,en
87784.0,en
66292.0,en
64464.0,en
94667.0,es
655.0,en
84661.0,en
97546.0,en
89456.0,en
52.0,en
8592.0,en
37606.0,en
62285.0,en
86031.0,ja
61923.0,en
114410.0,ja
45790.0,ja
73375.0,en
67195.0,en
103768.0,en
1420.0,en
61617.0,en
71790.0,en
79501.0,en
21510.0,en
85720.0,en
126280.0,en
128839.0,en
79788.0,en
57706.0,ja
58450.0,es
115857.0,es
4589.0,en
47665.0,en
96462.0,ko
2490.0,en
80623.0,ja
83095.0,ja
4616.0,en
80968.0,en
54671.0,en
45815.0,pt
82596.0,en
74016.0,en
4327.0,en
65844.0,ja
79525.0,en
60863.0,ja
42444.0,ja
120168.0,es
54650.0,en
2384.0,en
67070.0,en
253.0,en
4336.0,en
