id_show,Idiomas_hablados
1399.0,English
71446.0,Español
66732.0,English
1402.0,English
63174.0,English
69050.0,English
93405.0,English
93405.0,한국어/조선말
93405.0,اردو
1396.0,English
1396.0,Deutsch
1396.0,Español
71712.0,English
85271.0,English
60735.0,English
1418.0,English
84958.0,English
1416.0,English
82856.0,English
456.0,English
85552.0,English
75006.0,English
60574.0,English
76669.0,Español
76479.0,English
60625.0,English
18165.0,English
88396.0,English
31910.0,日本語
48866.0,English
119051.0,English
1668.0,English
1622.0,English
81356.0,English
44217.0,English
70523.0,Deutsch
1408.0,English
77169.0,English
85937.0,日本語
1412.0,English
1429.0,日本語
87108.0,English
1413.0,English
46260.0,日本語
71912.0,English
12637.0,Español
63247.0,English
82883.0,English
19885.0,English
62104.0,日本語
62715.0,日本語
62286.0,English
62286.0,Español
2288.0,English
65930.0,日本語
37680.0,English
70785.0,English
42009.0,English
1100.0,English
60059.0,English
60059.0,Deutsch
60059.0,Español
65334.0,Français
105214.0,Español
62560.0,English
12971.0,日本語
100088.0,English
37854.0,日本語
61889.0,English
62688.0,English
2004.0,English
1434.0,English
66788.0,English
2190.0,English
87739.0,English
87739.0,Français
87739.0,Pусский
87739.0,Español
34524.0,English
4604.0,English
90462.0,English
95557.0,English
60797.0,English
91363.0,English
1405.0,English
4607.0,English
13916.0,日本語
246.0,English
2316.0,English
4057.0,English
94997.0,English
2734.0,English
5920.0,English
46331.0,English
43348.0,Español
94605.0,English
99966.0,English
99966.0,한국어/조선말
79242.0,English
1403.0,English
63926.0,日本語
80213.0,English
71886.0,English
60708.0,English
16286.0,Italiano
16286.0,Español
46896.0,English
4613.0,Deutsch
4613.0,Français
4613.0,Lietuvių
4613.0,Nederlands
4613.0,English
104877.0,Türkçe
1911.0,English
88329.0,English
80020.0,日本語
48891.0,English
39351.0,English
615.0,English
2691.0,English
46952.0,English
86831.0,English
19614.0,English
95479.0,日本語
12609.0,日本語
78191.0,English
46648.0,English
74577.0,English
44953.0,Español
79460.0,English
387.0,English
4087.0,English
67335.0,Español
57243.0,English
60866.0,English
1409.0,English
67915.0,한국어/조선말
40075.0,English
63351.0,Español
63351.0,English
75450.0,English
75450.0,Deutsch
15260.0,English
69478.0,English
31917.0,English
1425.0,English
56570.0,Français
56570.0,English
92749.0,English
1421.0,English
110492.0,English
62455.0,Português
62455.0,Español
62710.0,English
70881.0,日本語
1398.0,English
27240.0,English
60622.0,English
34307.0,English
102903.0,Español
113988.0,English
115036.0,English
1424.0,English
84773.0,English
84773.0,Türkçe
67178.0,English
46296.0,English
58841.0,English
62127.0,English
95594.0,English
75219.0,English
80752.0,English
1705.0,English
62643.0,English
71728.0,English
16997.0,English
40008.0,English
67744.0,English
61222.0,English
61374.0,日本語
1981.0,English
38472.0,English
63639.0,English
1892.0,English
95057.0,English
4614.0,English
91239.0,English
1639.0,Español
1639.0,English
1639.0,日本語
44006.0,English
1407.0,English
154521.0,English
69740.0,English
45871.0,Español
72844.0,English
39272.0,English
52814.0,English
11250.0,Español
1438.0,Español
1438.0,English
1438.0,ελληνικά
1438.0,普通话
90239.0,Español
105.0,English
1433.0,English
96815.0,English
1395.0,English
35610.0,日本語
89641.0,English
89641.0,한국어/조선말
89641.0,Português
33880.0,English
1437.0,English
96677.0,Français
92783.0,English
71914.0,English
65494.0,English
31132.0,English
12697.0,日本語
1920.0,English
1920.0,Afrikaans
1920.0,Íslenska
31586.0,Español
73586.0,English
4194.0,English
31911.0,日本語
93741.0,English
93741.0,Português
93741.0,ภาษาไทย
2038.0,English
90802.0,English
63401.0,English
47.0,Español
