id_show,Paises_Produccion
1399.0,United Kingdom
1399.0,United States of America
71446.0,Spain
66732.0,United States of America
1402.0,United States of America
63174.0,United States of America
69050.0,United States of America
93405.0,South Korea
1396.0,United States of America
71712.0,United States of America
85271.0,United States of America
60735.0,United States of America
1418.0,United States of America
84958.0,United States of America
1416.0,United States of America
82856.0,United States of America
456.0,United States of America
85552.0,Israel
85552.0,United States of America
75006.0,Canada
75006.0,United States of America
60574.0,United Kingdom
76669.0,Spain
76479.0,United States of America
60625.0,United States of America
18165.0,United States of America
88396.0,United States of America
31910.0,Japan
48866.0,United States of America
119051.0,United States of America
1668.0,United States of America
1622.0,United States of America
81356.0,United Kingdom
44217.0,Canada
44217.0,Ireland
70523.0,Germany
1408.0,United States of America
77169.0,United States of America
85937.0,Japan
1412.0,United States of America
1429.0,Japan
87108.0,United Kingdom
87108.0,United States of America
1413.0,United States of America
46260.0,Japan
71912.0,Poland
71912.0,United States of America
12637.0,Mexico
63247.0,United States of America
82883.0,United States of America
19885.0,United Kingdom
19885.0,United States of America
62104.0,Japan
62715.0,Japan
62286.0,United States of America
2288.0,sin informacion
65930.0,Japan
37680.0,United States of America
70785.0,Canada
42009.0,United Kingdom
1100.0,United States of America
60059.0,United States of America
65334.0,France
65334.0,Japan
65334.0,South Korea
105214.0,Mexico
62560.0,United States of America
12971.0,Japan
100088.0,United States of America
37854.0,Japan
61889.0,United States of America
62688.0,United States of America
2004.0,United States of America
1434.0,United States of America
66788.0,United States of America
2190.0,United States of America
87739.0,United States of America
34524.0,sin informacion
4604.0,United States of America
90462.0,United States of America
95557.0,Canada
95557.0,United States of America
60797.0,United States of America
91363.0,Australia
91363.0,Canada
91363.0,France
91363.0,United States of America
1405.0,United States of America
4607.0,United States of America
13916.0,Japan
246.0,South Korea
246.0,United States of America
2316.0,United States of America
4057.0,United States of America
94997.0,United States of America
2734.0,United States of America
5920.0,United States of America
46331.0,United States of America
43348.0,sin informacion
94605.0,France
94605.0,United States of America
99966.0,South Korea
79242.0,Canada
79242.0,United States of America
1403.0,United States of America
63926.0,Japan
80213.0,United States of America
71886.0,United States of America
60708.0,United States of America
16286.0,Colombia
46896.0,United States of America
4613.0,Switzerland
4613.0,United Kingdom
4613.0,United States of America
104877.0,Turkey
1911.0,United States of America
88329.0,United States of America
80020.0,Japan
48891.0,United States of America
39351.0,sin informacion
615.0,United States of America
2691.0,United States of America
46952.0,United States of America
86831.0,United States of America
19614.0,United States of America
95479.0,Japan
12609.0,Japan
78191.0,United States of America
46648.0,United States of America
74577.0,United Kingdom
44953.0,Mexico
44953.0,United States of America
44953.0,Colombia
79460.0,sin informacion
387.0,United States of America
4087.0,United States of America
67335.0,Colombia
57243.0,Canada
57243.0,United Kingdom
60866.0,United States of America
1409.0,United States of America
67915.0,South Korea
40075.0,United States of America
63351.0,United States of America
